SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
1,2018,SEA,428,347,775,78,129,72,149,0,31:28,329,133,156,40,1012,5653,5.6,52,534,2560,4.8,15,427,280,3093,35,7,7.2,11.0,65.6,107.40,208,81,38.9,14,11,78.6,55,36,0,0,111,959,4,4,51,355,109,82,78,3759,48.2,11,26,15,71,106,48,119,3,29:57,323,91,201,31,955,5653,5.9,39,366,1811,4.9,9,546,355,3842,26,12,7.0,10.8,65.0,92.30,183,64,35.0,13,6,46.2,51,25,0,0,108,981,14,14,43,261,99,93,66,2961,44.9,26,11,-15,65.5,0,49.0,0,51,48,0,2,1,0,0,27,22,34,31,0,4,0,2,2,33,26,680,260,41,253,65,20,14,724,363,51,363,43,13,4,16,30
2,2018,SEA,70,94,164,13,23,6,28,0,26:16,68,19,41,8,238,1324,5.6,8,88,378,4.3,2,140,84,946,5,2,6.8,11.3,60.0,86.19,53,20,37.7,5,2,40.0,10,5,0,0,36,293,1,1,10,74,28,16,22,1054,47.9,3,1,-2,17,29,16,32,0,34:44,71,19,46,6,255,1234,4.8,12,118,373,3.2,2,126,88,861,8,0,6.8,9.8,69.8,109.92,63,27,42.9,2,2,100,10,6,0,0,32,279,1,1,11,85,23,24,23,1006,43.7,1,3,2,50.0,0,60.0,0,7,5,0,2,1,0,0,5,5,9,8,0,4,1,0,0,8,6,166,127,11,0,14,1,1,161,97,10,0,16,2,2,4,30
3,2018,SEA,22,24,46,0,6,8,8,0,25:10,11,5,6,0,52,299,5.8,2,24,73,3.0,1,27,18,226,1,0,8.4,12.6,66.7,104.86,13,2,15.4,2,2,100,3,2,0,0,5,36,0,0,1,7,4,2,7,360,51.4,0,1,1,3,7,0,14,0,34:50,23,9,11,3,68,380,5.6,3,34,164,4.8,2,33,22,216,1,1,6.5,9.8,66.7,82.39,11,4,36.4,0,0,0,4,3,0,0,6,36,0,0,1,10,3,6,5,225,45,1,0,-1,66.7,0,75.0,0,0,0,0,0,0,2,2,3,2,3,3,0,0,0,0,0,2,1,49,15,1,10,3,0,0,34,23,1,7,2,0,0,1,30
2,2018,SF,75,83,158,7,20,16,32,0,31:40,81,24,47,10,250,1459,5.8,8,110,401,3.6,6,134,88,1058,2,5,7.9,12.0,65.7,79.14,52,24,46.2,5,3,60.0,16,8,0,0,36,331,4,4,6,47,17,20,17,696,40.9,9,2,-7,17,24,24,18,0,29:20,75,22,41,12,249,1202,4.8,9,119,396,3.3,3,124,76,806,6,1,6.5,10.6,61.3,93.01,55,22,40.0,2,2,100,14,7,0,0,34,304,1,1,6,41,21,17,22,1021,46.4,2,9,7,50.0,0,50.0,0,5,5,0,3,1,1,1,6,6,9,8,0,0,0,0,0,8,7,191,57,6,0,17,2,2,205,70,6,0,23,2,4,4,31
1,2018,SF,342,435,777,62,118,99,60,3,30:55,344,98,201,45,1003,5769,5.8,35,423,1902,4.5,7,532,331,3867,26,20,7.3,11.7,62.2,84.84,193,73,37.8,10,5,50.0,51,21,0,0,112,982,12,12,48,380,93,91,68,2973,43.7,32,7,-25,100,128,91,116,0,31:31,337,104,195,38,1023,5546,5.4,52,444,1814,4.1,13,542,344,3732,35,2,6.9,10.8,63.5,103.65,216,87,40.3,17,10,58.8,58,38,0,0,117,1011,5,5,37,227,127,107,78,3379,43.3,7,32,25,41.2,0,65.5,0,29,27,0,10,2,0,0,34,33,50,45,0,4,2,0,0,27,24,741,242,36,228,40,10,5,753,216,48,384,85,17,12,16,31
1,2018,TB,396,464,860,71,138,71,113,3,30:30,388,80,265,43,1055,6648,6.3,49,389,1523,3.9,12,625,408,5125,36,26,8.2,12.6,65.3,92.52,187,86,46.0,13,9,69.2,60,36,0,0,117,975,9,9,41,233,95,92,57,2567,45.0,35,17,-18,91,166,93,114,0,30:01,356,122,209,25,998,6134,6.1,57,426,1983,4.7,19,534,387,4151,34,9,7.8,10.7,72.5,109.07,181,73,40.3,14,7,50.0,58,45,0,0,127,1156,8,8,38,232,113,82,70,3347,47.8,17,35,18,60.0,0,77.6,0,44,40,0,9,1,0,0,27,20,54,51,0,2,1,2,2,23,21,786,198,38,223,55,11,8,753,232,41,236,103,14,9,16,33
2,2018,TB,96,96,192,16,50,14,16,0,30:11,90,18,62,10,271,1463,5.4,11,102,325,3.2,3,163,105,1138,7,2,7.0,10.8,64.4,94.06,55,23,41.8,5,3,60.0,15,9,0,0,26,307,2,2,6,52,19,14,16,678,42.4,4,3,-1,16,10,39,31,0,30:49,91,27,54,10,271,1415,5.2,11,115,479,4.2,4,149,88,936,5,1,6.3,10.6,59.1,85.86,57,22,38.6,9,5,55.6,14,8,0,0,31,317,2,2,7,34,17,15,15,645,43,3,4,1,60.0,0,57.1,0,11,9,0,0,0,0,0,8,7,7,7,0,8,1,0,0,9,7,199,58,7,0,20,3,2,192,72,6,0,20,3,2,4,33
2,2018,TEN,40,90,130,17,3,7,13,0,28:32,64,13,38,13,235,1017,4.3,5,92,285,3.1,0,131,78,732,5,2,5.6,9.4,59.5,81.35,56,19,33.9,8,2,25.0,7,4,0,0,45,402,2,2,12,79,16,13,25,1127,45.1,4,3,-1,17,23,16,34,0,32:28,85,23,46,16,277,1418,5.1,9,115,310,2.7,1,156,93,1108,8,2,7.1,11.9,59.6,93.11,61,24,39.3,5,2,40.0,11,5,0,0,37,302,1,1,6,58,27,23,16,731,45.7,3,4,1,57.1,0,45.5,0,4,4,0,2,0,0,0,2,2,9,9,0,0,0,0,0,9,9,190,91,6,0,21,4,1,177,70,12,0,7,4,3,4,34
1,2018,TEN,310,303,613,76,58,69,101,6,30:47,289,106,156,27,938,4998,5.3,34,454,2023,4.5,15,437,293,2975,16,12,6.8,10.2,67.0,87.09,205,82,40.0,12,7,58.3,47,25,0,0,82,727,6,6,47,280,87,85,74,3483,47.1,18,17,-1,70,105,63,62,3,31:51,298,98,182,18,1001,5334,5.3,32,429,1863,4.3,9,533,337,3471,21,11,6.5,10.3,63.2,86.44,205,75,36.6,20,11,55.0,47,21,0,0,120,984,6,6,39,248,72,107,71,3275,46.1,17,18,1,53.2,0,44.7,0,31,28,1,2,0,0,0,30,26,32,31,0,0,0,0,0,29,26,719,323,39,248,64,9,6,708,308,47,280,41,13,6,16,34
1,2018,WAS,281,359,640,54,95,35,97,0,30:38,280,96,156,28,967,4795,5.0,29,414,1774,4.3,12,509,311,3021,16,15,5.9,9.7,61.1,75.93,206,75,36.4,18,10,55.6,40,21,0,0,115,1008,4,4,44,266,94,81,79,3581,45.3,19,26,7,60,134,61,104,0,30:22,330,109,197,24,996,5654,5.7,43,413,1860,4.5,12,537,362,3794,27,15,7.1,10.5,67.4,92.82,196,86,43.9,13,5,38.5,52,27,0,0,102,791,11,11,46,297,99,107,58,2660,45.9,26,19,-7,52.5,0,51.9,0,26,25,0,6,2,0,0,29,26,38,34,0,7,2,0,0,26,21,701,310,46,298,60,18,11,706,252,44,262,77,13,4,16,35
2,2018,WAS,69,98,167,16,20,10,23,0,29:45,75,19,42,14,237,1305,5.5,7,102,483,4.7,0,123,78,822,7,3,6.7,10.5,63.4,91.58,48,13,27.1,5,2,40.0,11,5,0,0,28,218,2,2,12,69,14,17,18,872,48.4,5,4,-1,17,19,27,35,0,31:15,76,34,38,4,245,1255,5.1,9,125,533,4.3,6,113,70,722,2,3,6.4,10.3,61.9,75.17,50,19,38.0,4,3,75.0,12,6,0,0,26,239,1,1,7,35,35,18,17,834,49.1,4,5,1,45.5,0,50.0,0,6,6,0,2,0,0,0,9,7,7,7,0,2,1,1,1,11,11,172,91,7,0,20,1,2,174,82,12,1,14,2,2,4,35
